,mean,std,mean_difference,percentual_variation_base,sample_size,pooled_estimated_std,power,iteration
T3,22.091783333333336,11.829859943881921,7.683572,53.72900356640204,150,10.503880726045402,0.9988109064007092,14
T1,16.1026,11.938026589370635,-3.093961333333333,-15.91593291144084,150,11.687231295192188,0.5913461702763363,15
T2,19.196561333333335,11.419502574494441,0.0,0.0,150,11.419502574494441,,15
T3,21.242174000000002,11.082300093839894,2.0456126666666665,10.919611299213802,150,11.259957936583268,0.3911372205072541,15
T1,15.417498666666667,11.441956915139208,-3.776596,-19.491800706282447,150,11.433578255282752,0.7369299673535191,16
T2,19.194094666666665,11.41386578256113,0.0,0.0,150,11.41386578256113,,16
T3,22.088608,11.489791687159203,2.8945133333333337,15.34791580697415,150,11.459887594061362,0.5631245934870768,16
T1,14.704721333333332,10.957869182735342,-4.48672,-23.19274050165875,150,11.195679871766067,0.8537765070146108,17
T2,19.191441333333334,11.417562054893915,0.0,0.0,150,11.417562054893915,,17
T3,22.95504066666667,11.873387653669099,3.763599333333333,19.89986419433244,150,11.655829351599316,0.719887095492782,17
T1,13.993954,10.467917394243258,-5.199078,-26.913026971285255,150,10.956210697403906,0.9329785663099105,18
T2,19.193032000000002,11.413414103206593,0.0,0.0,150,11.413414103206593,,18
T3,23.796466,12.28826938420699,4.603434,24.282164931251906,150,11.867181339996913,0.8346060192984851,18
T1,13.316005333333335,9.97138133147736,-5.872916666666667,-30.44291841120325,150,10.725885449734315,0.9740164387555494,19
T2,19.188921999999998,11.421051528368105,0.0,0.0,150,11.421051528368105,,19
T3,24.648429333333333,12.6853877872305,5.459507333333334,28.750274017606547,150,12.078248101040053,0.9142437067473056,19
T1,12.587666666666665,9.485875594382366,-6.612716666666666,-34.28222874667924,150,10.497263985057943,0.9919432216160888,20
T2,19.200383333333335,11.410012621817176,0.0,0.0,150,11.410012621817176,,20
